Name,URL,Type,Location,Address,Cuisines,Cost_for_Two,Timings,Rating,Votes
"Big Brewsky ",https://www.zomato.com/bangalore/big-brewsky-sarjapur-road,Microbrewery,Sarjapur Road,"Behind MK Retail, Before WIPRO Corporate Office, Sarjapur Road, Bangalore","Finger Food, North Indian, Italian, Continental, South Indian","₹1,600","12:30PM to 1AM (Mon-Sun) ","4.7 ",9277 votes
"Hoot ",https://www.zomato.com/bangalore/hoot-sarjapur-road,"Microbrewery,Pub",Sarjapur Road,"BBMP 2034/69, Block 2, Kaikondrahalli, Varthur Hobli, Sarjapur Road, Bangalore","Continental, Italian, North Indian","₹1,400","12Noon to 12:30AM (Mon, Tue, Wed, Thu, Sun), 12Noon... ","4.3 ",3696 votes
"Toit ",https://www.zomato.com/bangalore/toit-indiranagar,Microbrewery,Indiranagar,"298, Namma Metro Pillar 62, 100 Feet Road, Indiranagar, Bangalore","Italian, American, Pizza","₹1,500","12Noon to 11:30PM (Mon-Tue),12Noon to 12:30AM (Wed... ","4.5 ",12618 votes
"Truffles ",https://www.zomato.com/bangalore/truffles-koramangala-5th-block,"Café,Casual Dining",Koramangala 5th Block,"28, 4th 'B' Cross, Koramangala 5th Block, Bangalore","Cafe, American, Burger, Steak",₹800,"12Noon to 10:30PM (Mon-Sun) ","4.6 ",11825 votes
"Communiti ",https://www.zomato.com/bangalore/communiti-residency-road,"Microbrewery,Casual Dining",Residency Road,"67 & 68, Brigade Solitaire, Opposite to Advaith Hyundai, Residency Road, Bangalore","Continental, BBQ, Salad","₹1,200","11:30AM to 1AM (Mon-Sun) ","4.4 ",1680 votes
"Koramangala Social ",https://www.zomato.com/bangalore/koramangala-social-koramangala-7th-block,Lounge,Koramangala 7th Block,"118, Koramangala Industrial Area, Koramangala 7th Block, Bangalore","Continental, American","₹1,500","9AM to 12:30AM (Mon-Sun) ","4.4 ",2632 votes
"Flechazo ",https://www.zomato.com/bangalore/flechazo-marathahalli,Casual Dining,Marathahalli,"9/1, 1st Floor, Above Surya Nissan, VRR Orchid, Doddanakkundi, Marathahalli, Bangalore","Asian, Mediterranean, North Indian, BBQ","₹1,200","11:30AM to 4PM, 6:30PM to 12Midnight (Mon-Sun) ","4.4 ",4036 votes
"Big Pitcher ",https://www.zomato.com/bangalore/big-pitcher-airport-road,"Pub,Microbrewery",Old Airport Road,"LR Arcade,4121, Old Airport Road, Bangalore","American, Continental, North Indian, Mediterranean, Salad, Steak","₹2,000","11AM to 1AM (Mon-Sun) ","4.5 ",5436 votes
"The London Curry House ",https://www.zomato.com/bangalore/the-london-curry-house-race-course-road,"Casual Dining,Bar",Race Course Road,"19/2, Kumara Krupa Road, Off Race Course Road, Bangalore","Pizza, North Indian, Modern Indian","₹1,200","12Noon to 3PM, 7PM to 11PM (Mon-Sun) ","4.4 ",2143 votes
"The Reservoire ",https://www.zomato.com/bangalore/the-reservoire-koramangala-5th-block,Bar,Koramangala 5th Block,"5th ‘a’ Block, 17th Main Road, JNC Road, Koramangala, Bangalore","Chinese, Cafe, Continental, Indian, Finger Food, North Indian, Desserts, Pizza","₹1,300","11AM to 1AM (Mon-Sun) ","4.2 ",455 votes
"Biergarten ",https://www.zomato.com/bangalore/biergarten-whitefield,"Pub,Microbrewery",Whitefield,"2, Doddanekkundi, Whitefield Road, Mahadevpura, Whitefield, Bangalore","Continental, European, BBQ, Chinese, Asian","₹1,500","12Noon to 12Midnight (Mon, Tue, Wed, Thu, Sun)... ","4.7 ",3160 votes
"High Ultra Lounge ",https://www.zomato.com/bangalore/high-ultra-lounge-malleshwaram,Lounge,Sheraton Grand Bangalore Hotel at Brigade Gateway,"26/1 , 31st Floor, Dr. Rajkumar Road, World Trade Centre, Brigade Gateway Campus, Malleshwaram, Bangalore","Japanese, Thai, Chinese, Korean","₹2,600","12:30PM to 1AM (Mon-Sun) ","4.3 ",3696 votes
"Arbor Brewing Company ",https://www.zomato.com/ArborBrewIndia,"Pub,Microbrewery",Brigade Road,"8, 3rd Floor, Allied Grande Plaza, Diagonally Opposite Garuda Mall, Magrath Road, Brigade Road, Bangalore","American, Continental, Salad","₹2,000","12Noon to 12:30AM (Mon, Tue, Wed, Thu, Sun), 12Noon... ","4.4 ",7381 votes
"The 13th Floor ",https://www.zomato.com/bangalore/the-13th-floor-mg-road,Lounge,Barton Centre,"Barton Centre, 84, MG Road, Bangalore","Asian, North Indian, Thai","₹1,700","4PM to 11PM (Mon-Thu),4PM to 1AM (Fri-Sat),12Noon to... ","4.0 ",3758 votes
"Indigo XP ",https://www.zomato.com/bangalore/indigo-xp-koramangala-5th-block,"Pub,Lounge",Koramangala 5th Block,"5th Floor, 6th Block, Elite Building, Industrial Layout, Jyoti Niwas College Road, Koramangala 5th Block, Bangalore","Asian, Chinese, North Indian, Finger Food","₹1,400","4PM to 1AM (Mon-Sun) ","4.5 ",947 votes
"The Black Pearl ",https://www.zomato.com/bangalore/the-black-pearl-koramangala-5th-block,Casual Dining,Koramangala 5th Block,"105, 1st A Cross Road, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore","North Indian, European, Mediterranean","₹1,400","12Noon to 4PM, 6PM to 12Midnight (Mon-Sun) ","4.4 ",7378 votes
